date,time,type,title,description,speakers,room
2015-03-05,9 a.m. - 10 a.m.,Hands-on,Excel magic (advanced functions),"Learn about various tools and functions in Excel that come in handy when you need to re-structure or otherwise get your data ready for analysis. We'll cover string functions, logical functions, date functions, the Tableau Reshaper, merging data using lookup functions and perhaps a few other nifty tricks if time allows. This is a fast-paced class intended to introduce you to these tools, not master them. But you'll walk out with practice data and a 20-page tipsheet that covers in detail everything we do in class, plus other great Excel tips.

Recommended for: anyone feeling comfortable with basic Excel functions and formulas.",MaryJo Webster,M105
2015-03-05,9 a.m. - 10 a.m.,Panel,Getting started: Intro to CAR and the conference,"Are you new to data journalism or does this happen to be your first time at a CAR conference? Is it time to up your game but you're not sure how to take the next step? If so, this session will help you get on track to make sure that you get the best experience possible from the 2015 CAR Conference. We'll highlight sessions and give you tips for success during and after the conference.

This session is good for: Those new to data journalism or the CAR Conference.","Megan Luther, Ron Nixon, Jill Riepenhoff",International 8-9
2015-03-05,9 a.m. - 10 a.m.,Demo,From words to pictures: Text analysis and visualization,"You've got a massive pile of text: some Ferguson tweets, a box of now OCRed documents, or maybe a corpus of press releases you scraped. How do you make sense of it? In this session I'll introduce some alternatives for using text visualization to see your texts in different ways. Then I'll talk about some of the machinery for text analysis that you'll need to get there, with pointers out to Python tools. Next year you'll be visualizing the SOTU like a pro.",Nicholas Diakopoulos,International 10
2015-03-05,9 a.m. - 10 a.m.,Panel,Spotlight: Being a reporter when everyone's a journalist and there's data everywhere,,Zeynep Tufekci,International 6-7
2015-03-05,9 a.m. - 10 a.m.,Panel,Investigating caretakers,"How to use federal nursing home and other data to tell locally relevant stories about long-term care in your area, and hold nursing home operators and authorities accountable.","Robert Benincasa, Jeff Kelly Lowenstein",International 4-5
2015-03-05,9 a.m. - 10:30 a.m.,Hands-on,Interactive data graphics in Tableau Public (Hosted by Tableau),"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video.

We'll teach you how to:

•Connect to Excel files and other data

•Create maps and charts

•Make them interactive

•Publish them on your site

Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided.  This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available.

This class is full.  There may be a few seats available on-site. If you are interested, please arrive a few minutes before the class begins and the instructors will let you know how many seats may be available.",Ben Jones,M101
2015-03-05,9 a.m. - 10 a.m.,Hands-on,Getting started with open-source database manager MySQL,"Plenty of data these days come in large or relational tables that require a good database manager, beyond what Excel and even Access can offer. MySQL is a free, powerful, and popular open-source tool, and with it you can transform and analyze almost any dataset. In this class we will introduce you to MySQL and how it works. Please note that we cannot help you install it here, but there'll be plenty of help for that at the installation party Sunday at 9 a.m.

This session will be most helpful if: You have some experience working with data in columns and rows, and are familiar with SQL.",T. Christian Miller,M103
2015-03-05,9 a.m. - 5:30 p.m.,Hands-on,Intermediate/Advanced Python,"You've written a few Python scripts that get the job done, but the initial euphoria has worn off. Your code is hard to understand. Bugs are cropping up. Worse, you can't always explain your process or results to an editor -- or yourself. There must be a better way, but the path forward is not clear. If you've had that itchy feeling, this daylong, hands-on workshop is for you.

After mastering the basics of writing code, you need to understand how to design programs.  To that end, the first half of this class will explore Python language features that will help you write readable, reliable and reusable code.  The second half will go deep on classes and object-oriented programming -- critical skills for achieving fluency in Python and empowering you to work with and even modify third-party libraries. We'll also review tools and best practices that can help beginner programmers break through to the next level. Preregistration is required and seating is limited. Interested attendees should apply for this session by filling out this form.

**Prerequisites: Experience with basic Python language features like variables, data types, conditionals and functions are required.

Attendees must be registered for the conference to attend this workshop.

NOTE: Registration is required for this session. Click here to sign up.","Jeremy Bowers, Serdar Tumgoren",M102
2015-03-05,9 a.m. - 5:30 p.m.,Hands-on,PyCAR,"Introduction to Python. This hands-on workshop will teach journalists basic programming concepts using the Python language. The daylong class will introduce language basics and useful libraries in the course of a typical reporting project: scraping data from the Web, inserting it in a database and analyzing the results.

Although the class is geared toward beginners, we'll assume that you're comfortable with databases and SQL and that you've hopefully seen a command line since the days of DOS. Preregistration is required and seating is limited. Laptops will be provided for the training.

**Prerequisites: Attendees should be have familiarity with the command line and be comfortable with databases and SQL.

Attendees must be registered for the conference to attend this workshop.

NOTE: Registration is required for this session. Click here to sign up.","Chris Keller, Ryan Murphy, Katie Park, Kevin Schaul, Heather Billings, Tom Meagher, Alex Richards, Eric Sagara",See printed schedule for room information
2015-03-05,10:10 a.m. - 11:10 a.m.,Panel,Do it once (and only once),"Because data processing can be fraught with peril (and consume a ton of your time), this session will show you the nuts and bolts of doing it in a reusable way. We'll cover things like writing scripts to clean and import data; managing the processing code with version control; and the importance of audit trails so that you can keep track of what's happening with your code behind the scenes.","Derek Willis, David Eads",International 6-7
2015-03-05,10:10 a.m. - 11:10 a.m.,Panel,What the hell is R and all the other questions you’re afraid to ask,"Ever wondered what people are talking about at this conference? What exactly is R and why you would want to use it? What is the difference between Ruby, Python and Javascript? And why is there a J in front of Query? Welcome to our no-judgment-starting-at-step-zero session even NICAR vets can use. We'll review tech concepts and jargon you'll likely hear at NICAR this year, explain what they mean, why they're useful and point you to the sessions that can teach you the terms you now understand.

This session is good for: Anyone who has felt lost in the sea of technical terminology.","Sisi Wei, Tisha Thompson",International 8-9
2015-03-05,10:10 a.m. - 11:10 a.m.,Demo,"Interactives without programming: A new tool for building data-driven, interactive content",,Ted Benson,International 10
2015-03-05,10:10 a.m. - 11:10 a.m.,Hands-on,Excel for business and economics,"​Whether you just started using Excel or it's been your companion for years, chances are there's a lot it can do you've never realized. We sometimes think of Excel as the stepping stone to database managers like Access or SQL Server, and overlook just how powerful its tools can be. Especially if you're covering business and economics, come find out why Excel is still so popular in the business world and we'll unlock some of its secrets. The people you're covering know these tricks - you should too.

This session is good for: People who understand Excel basics but want to unlock powerful functions for analyzing businesses.",Aaron Kessler,M103
2015-03-05,10:10 a.m. - 11:10 a.m.,Special Event,NICAR Commons: Conversations - Time & Task Management,"Let's share tips and tools for staying organized and on-task in the newsroom. GitHub Issues? The Bulletproof Journal System? Lots and lots of lists? How do you keep track of projects and tasks? Whether you have a system or a Post-It note, help others learn how to keep things from falling through the cracks.

*Brent Jones",,International Foyer
2015-03-05,10:10 a.m. - 11:10 a.m.,Panel,The forgotten history of data journalism,"You may think that data journalism started in the 1960s, but the truth is, data's been a central part of journalism since its very beginning. You'll see beautiful examples of data visualizations in news from the 18th and 19th centuries, and a data-backed investigation--complete with nerd box--from before the Civil War.

This session is good for: Anyone interested in data visualization.",Scott Klein,International 2-3
2015-03-05,10:10 a.m. - 11:10 a.m.,Hands-on,Designing database applications to increase page views and ad revenues,"With journalists facing increasing pressure to create data interactives that engage more readers, it’s important to optimize data-driven applications for interactivity, traffic and page views. Learn how to design and deploy revenue-generating applications that will continue to serve as long-lasting data assets. This demo will showcase real-world examples and techniques for building “share-worthy” hyper-local applications. Technologies covered: Caspio, Google maps, Google charts, GPS and location proximity, AJAX, CDN, data feeds, SEO, and cross-channel deployment (web, mobile and social).

NOTE: Pre-registration is not required, but is recommended to receive your free Caspio account pre-loaded with demo apps for the session.

Click here to sign up.

This session is good for: Everyone. All attendees receive a free permanent Caspio account for life.",Edward Garcia,M107
2015-03-05,10:10 a.m. - 11:10 a.m.,Hands-on,Make Photoshop work for you,"Ever want to create an animated gif? How about a easy way to crop, rotate and resize 1000 photos at once? Or extract hidden information from a photograph using the perspective tool? You'll learn these tricks and more in a hands-on workshop aimed at showing you the amazing (and extremely useful) things that Photoshop can do for you.",Christopher Canipe,M105
2015-03-05,10:10 a.m. - 11:10 a.m.,Panel,Tracking diseases,"Ebola. Measles. Pandemic flu. When disease strikes in communities it's up to us to get to the bottom of what's going on and evaluate the official response. This session will provide guidance on the data, records and sources you need but may not have thought to get.","Gary Baum, Daniel Lathrop, Betsy McKay",International 4-5
2015-03-05,11 a.m. - 12:30 p.m.,Hands-on,Advanced design and interaction in Tableau Public (Hosted by Tableau),"Analyzing data and coming up interactive visualizations is easy in Tableau but sometimes getting everything looking polished isn’t. In this session you will learn how to break away from the default formatting in Tableau Public to create interactive data graphics that match your style guides and engage your readers.

We will teach you how to:

•change colors, shapes, borders, fonts, and other basic formatting

•incorporate images, logos, and other graphic elements

•take advantage of advanced interaction techniques to incorporate multimedia

•utilize design and layout best practices to make sure that your visualization looks polished and professional

Tableau Public is a free tool for journalists. Some familiarity with the product is recommended; a beginner session earlier in the day should prepare you enough for this session. This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available.

This class is full.  There may be a few seats available on-site. If you are interested, please arrive a few minutes before the class begins and the instructors will let you know how many seats may be available.",Jewel Loree,M101
2015-03-05,11:20 a.m. - 12:20 p.m.,Hands-on,OpenRefine,"Learn to take filthy, stinking, messy data from an unhelpful government agency and transform it into something useful with the help of OpenRefine. If you often have to scrub and standardize huge spreadsheets, but you haven't delved into regular expressions, this program will change your life.

This session will be most useful if: You have some experience working with data in columns and rows, in spreadsheets or database managers.",Frederick Kaimann,M103
2015-03-05,11:20 a.m. - 12:20 p.m.,Hands-on,First steps with R,"Take your first steps with powerful, open-source statistical language R by learning some of the basic skills you need to get up and running with R. By the end of this session, you will be able to take raw data, import it into R, and start your analysis. Topics that will be covered include: basic data importing, working with directories, reading in data, installing packages, as well as how to clean, explore and sort data. We'll also talk about how to find help when you're stuck.

This session will be most helpful if: you have experience working with data.",Annie Waldman,M107
2015-03-05,11:20 a.m. - 12:20 p.m.,Demo,Tell stories about your community with real estate data,"Housing data is about more than just real estate. Get beyond the market reports and tell stories about your community: Watchdog government programs, profile up-and-coming neighborhoods, and inform your daily reports on transit, crime, and new development.

In this session, Zillow's senior economist, Skylar Olsen, will walk you through the data available about real estate, explain its caveats and show off her favorite tricky Excel shortcuts. She'll demo how she combines housing stats with census data to find trends relevant in local markets all over the country.",Skylar Olsen,International 10
2015-03-05,11:20 a.m. - 12:20 p.m.,Hands-on,Getting started with Access,"Learning to manipulate data is a bit like learning a new language. Actually, it is a language, called structured query language. This session is an introduction to using SQL to zero in on your data, by viewing slices and chunks of it, and putting it into a useful order so you can spot the stuff you need to get started toward a story.

This session will be most useful if: You have some experience working with data in columns and rows, in spreadsheets or database managers.",Acton Gorton,M105
2015-03-05,11:20 a.m. - 12:20 p.m.,Panel,Spotlight: A conversation with Hanna Wallach - lessons from computational social sciences,"**Moderated by Sarah Cohen, The New York Times

Hanna Wallach has been a pioneer in computational social science, which shares documents, data and challenges with many journalists. She'll bring her wisdom in applying natural language processing and machine learning to IRE in a wide-ranging conversation that will include pitfalls and promise in cross-disciplinary collaborations, advice for handling document dumps and attempts to predict the content of redacted documents.

The session is good for: Anyone We'll explain any jargon. The session will be most useful if you have a passing familiarity with statistics or coding.","Sarah Cohen, Hanna Wallach",International 8-9
2015-03-05,11:20 a.m. - 12:20 p.m.,Panel,Digging deeper with the Web,"What journalists need to know. From better backgrounding techniques to the invisible Web. How to find people, documents and databases on deadline and where to find reliable websites for enterprise stories. The craft of better searching and not wasting time.

This session is good for: Anyone.","Jaimi Dowdell, Amy Roberts",International 6-7
2015-03-05,11:20 a.m. - 12:20 p.m.,Panel,Data from scratch: When data don't exist,"You've got a great story idea but no one tracks the data. Time to quit, right? Wrong. We'll show you the tools, and the pitfalls, of making your own data when no data exists.

This session is good for: Anyone.","Ricardo Brom, Griff Palmer, Lisa Pickoff-White",International 4-5
2015-03-05,11:20 a.m. - 12:20 p.m.,Panel,Uncovering racial and economic divides using data,"*Moderated by Malik Singleton, New York University

How do bus routes, traffic lights and barren streets build inequity into society? In this session we will show how to explore unequal outcomes in schools, health and criminal justice from a more complex and revealing vantage point. Participants will learn new reporting strategies to investigate how public policy and institutions shape unequal outcomes for different groups in society. You'll also learn new tools and techniques to help you accurately and fairly report on the factors at play in stories about disparity.","Tim Henderson, Malik Singleton, David Herzog, Nikole Hannah-Jones",International 2-3
2015-03-05,11:20 a.m. - 12:20 p.m.,Special Event,NICAR Commons: Conversations - News Nerd book club,"Join the folks from INN to discuss The Design of Everyday Things by Don Norman. Let's talk about how design principles and the fundamentals of human psychology influence our understanding of the world — and the work we do as data journalists. Bonus, we'll probably have pie.

*Adam Schweigert and Kaeti Hinck",,International Foyer
2015-03-05,12:30 p.m. - 1:30 p.m.,Special Event,NICAR Commons: Conversations - Creating a culture of constructive critique,"How do we create a culture of constructive critique in this community? -- What sorts of critiques do you need from your peers in the industry? What would you find productive? Maybe come with a project you worked on and what critique you wish you could have gotten?

*Tyler Fisher, Ted Han",,International Foyer
2015-03-05,1:30 p.m. - 5:30 p.m.,Special Event,NICAR Commons: California Code Rush - The CAL-ACCESS Challenge,"Hacks, hackers and newbies of all ages! Step right up and help the California Civic Data Coalition master CAL-ACCESS, the golden state’s campaign cash database. Our team is here at NICAR 2015 with dozens of open tickets, in all shapes and sizes. And we are asking you to help close them out.

It’s a simple game. Submit a patch, win a prize. The bigger the challenge, the bigger the prize. Don’t worry if you’re new to open source. Stop by and we’ll guide you through your first contribution, from fork to patch to pull.","Ben Welsh, Aaron Williams",International Foyer
2015-03-05,1:30 p.m. - 3 p.m.,Hands-on,Intro to data stories in Tableau Public (Hosted by Tableau Public),"Got a dataset and an impending deadline to write a story on it? Find the scoop and convey it with beautiful, interactive visualizations in a serial narrative using Tableau Public. It’s a fast, easy to use, and free tool for journalists. Visualizations will publish using any CMS and no programming is required.

We’ll teach you how to:

•Connect to Excel files and other file types

•Rapidly explore and analyze datasets with ease

•Make eye-catching visualizations to share your findings

•Add interactivity and arrange them in a serial narrative to engage and sustain your audience’s attention

Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided.  This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available.

This class is full.  There may be a few seats available on-site. If you are interested, please arrive a few minutes before the class begins and the instructors will let you know how many seats may be available.",Andrew Cheung,M101
2015-03-05,2:10 p.m. - 3:10 p.m.,Demo,"Plotly: Making & sharing beautiful, engaging graphs","Plotly allows you to create beautiful, interactive graphs and data visualizations in your browser. Use the same JavaScript library the New York Times uses (d3.js) and embed your graphs in blogs, websites, & articles. But you don't need to code to make beautiful, interactive graphs; while you can use Python, R, and more to make graphs, you can also make graphs with Excel, Google Drive, and by copying and pasting data into a grid. It's collaborative, free, and entirely online. In this talk, we'll talk about graphing best practices and look at how The Washington Post, Wired, The Guardian and others use Plotly graphs in their work.",Matthew Sundquist,International 10
2015-03-05,2:10 p.m. - 3:10 p.m.,Hands-on,Counting and summing with Access,"If you know how to write a basic SELECT statement in SQL through Microsoft Access but are looking to make calculations, then this is the session for you. Learn to count how many times certain records appear in a database and sum totals across records. These skills can come in handy whether you're covering campaign finance or boating licenses.

This session will be most useful if: You took 'getting started with Access' or are familiar with 'SELECT' and 'WHERE' statements in SQL.",Andrea Fuller,M105
2015-03-05,2:10 p.m. - 3:10 p.m.,Hands-on,Grabbing data from websites without scraping,"We'll show you how to get websites to give up structured data. Programming knowledge isn't required but you'll learn why it's good to have. Required software is just a web browser and some free tools and add-ons we'll tell you about.

Prerequisites: Solid excel. Sneakiness and Nosiness.","Scott Klein, Michelle Minkoff",M107
2015-03-05,2:10 p.m. - 3:10 p.m.,Panel,The latest on open records,"*Moderated by Kathleen Johnston, independent journalist

To successfully get the data and documents you want, it's key to understand how the law is changing and what developments are on the horizon. This session looks at the current state of open records regulations, and where the trends are heading, particularly as it applies to data.

This session is good for: Anyone.","Michael Morisy, Jackie Kazil, Tom Clyde, Kathleen Johnston",International 8-9
2015-03-05,2:10 p.m. - 3:10 p.m.,Panel,Space journalism: Using satellite imagery for data projects,"In this panel we'll discuss the basics of remote sensing and how recent and historic satellite data can be used in data-driven projects. Space agencies are actively making this data more readily accessible to the public and it can be used to create beautiful and revealing images of anywhere in the world. In projects at The New York Times and ProPublica, we've used this imagery to tell visual and geographic stories, integrating it with other geographic datasets and on-the-ground reporting. We'll discuss how we acquired the data from NASA data centers along with the visual and programmatic techniques that can be used to process it.","Brian Jacobs, Derek Watkins, Al Shaw",International 6-7
2015-03-05,2:10 p.m. - 3:20 p.m.,Panel,Make every international story a data story,"Some international headlines just won't stop. There's endless fighting in Ukraine.  So, let’s find out where are those weapons are coming from.  Greece may default on its loans unless it reforms its tax system. We can calculate how many Greek citizens actually pay taxes. Nigeria’s elections are plagued by corruption. Let’s have a look at the how much was being transferred to politicians from Swiss bank accounts.   With a dearth of quality international news coverage, a little bit of data can transform breaking news on the crisis of the week into in-depth coverage that leads to greater accountability.  This session will dissect some of the biggest international investigations of the year, the data behind them and their global and local impact.

This session is good for: Anyone.","Eva Constantaras, Giannina Segnini, Mar Cabra",International 4-5
2015-03-05,2:10 p.m. - 3:10 p.m.,Panel,CAR on the beat,"*Moderated by Jennifer Smith Richards, The Columbus Dispatch

Data isn't just for big projects or a designated investigative reporter. Learn how to think about finding and using data on any beat and the best way to make data part of your everyday work. We'll talk about the kind of data every beat reporter should have on hand, how to make time for data analysis and show some examples of how beat reporters have made use of data in everyday stories.

This session is good for: Anyone.","Kate Martin, Christopher Weaver, Jennifer Smith Richards",International 2-3
2015-03-05,2:10 p.m. - 3:10 p.m.,Hands-on,Stats: An introduction,"Statisticians need to really understand their data (and so do you!) before they begin running analyses. As a result, statistical software packages such as SPSS have many powerful tools to summarize your data. You're going to love them. We'll take a look at the structure of some Home Mortgage data, do data transformations and run crosstabs with Chi Square significance tests to look at racial discrimination in home lending.

This session will be most helpful if: You have familiarity with Excel and some database software. We've got a *lot* of ground to cover in this hour.",Jeff Kelly Lowenstein,M103
2015-03-05,3:20 p.m. - 4:20 p.m.,Demo,Bedfellows: Explore the relationships between PAC donors and recipients,"Come learn about Bedfellows, a new tool developed for analyzing federal campaign finance data.",Derek Willis,International 10
2015-03-05,3:20 p.m. - 4:20 p.m.,Panel,Analyzing jobs in your community,"Learn about various data sources, both federally and locally, that can help you look at the changing makeup of jobs in your community. What's growing? What's declining? What's expected in the next 5 to 10 years? Also learn about ways to watchdog local and state programs that are promising to create jobs.

This session is good for: Reporters looking for story ideas and data sources. Beginners and advanced data users welcome.","Tyler Dukes, MaryJo Webster, David Hiles",International 2-3
2015-03-05,3:20 p.m. - 4:20 p.m.,Panel,"I screwed up. I survived and you can, too.","*Moderated by Coulter Jones, MedPage Today

The path to great data-driven journalism is not a straight line. Inevitable issues with records, different answers in an analysis and questions on methodology are par for the course. Mistakes are part of the process, but they don't have to be debilitating. This panel will cover the best practices and tips, sometimes learned the hard way, to ensure that a story is bullet-proofed before publication.

This session is good for: Anyone.","Sarah Cohen, Tom McGinty, Coulter Jones, John Perry",International 4-5
2015-03-05,3:20 p.m. - 4:20 p.m.,Hands-on,Stats: Basic linear regression,"Go beyond counting and sorting. Learn how (and when) to measure relationships.

This session will be most useful if: You took 'Stats: An introduction' and want to know how to apply what you learned, or are comfortable with summary statistics and SPSS and new to stats. Familiarity with spreadsheets and database managers is recommended.",Holly Hacker,M103
2015-03-05,3:20 p.m. - 4:20 p.m.,Panel,Data journalism in the university: Making the paradigm shift,"*Moderated by Brant Houston, University of Illinois

Experienced teachers offer recommendations on how to construct a sensible and practical syllabus, how to integrate it into a curriculum, how to keep up with the profession, and how to being in adjuncts when the current professors can't teach it.

This session is good for: Anyone teaching part-time or full-time or planning to.","Meredith Broussard, Matthew Waite, Brant Houston",International 8-9
2015-03-05,3:20 p.m. - 4:20 p.m.,Hands-on,Import.io: Web scraping without coding,"import.io allows you to convert data from the internet into a structured useable table. This data can then be used to analyze trends, build leads and build news stories. Extracting data gives you ultimate control. The class centers around extracting data from the web followed by manipulating and using that data. We will use import.io to gather the data and then use 3rd programs (Google Sheets and Excel) to manipulate and use the data.",Andrew Fogg,M107
2015-03-05,3:20 p.m. - 4:20 p.m.,Panel,Humanizing numbers,"*Moderated by Ron Nixon, The New York Times

Can a data-driven project be personal and provoke empathy in readers? Sometimes a chart doesn't portray the full impact of an individual's story; sometimes a well written narrative glosses over the larger pattern. In this session, we'll look at projects that try to tackle the problem of humanizing numbers and discuss whether empathetic data viz is even possible.","Ryan Gabrielson, Katie Park, Ron Nixon, Nikole Hannah-Jones",International 6-7
2015-03-05,3:20 p.m. - 4:20 p.m.,Hands-on,Joining tables with Access,"Learn how to join tables, matching information from one file to another, using SQL in Microsoft Access.

This session will be most useful if: You are familiar with 'counting' , 'summing' or 'GROUP BY' in SQL and want to add another tool to your SQL skill set. (Or you are tired of trying to connect the arrows between multiple tables in Access.)",Michael Pell,M105
2015-03-05,3:30 p.m. - 5 p.m.,Hands-on,Advanced calculations and analysis in Tableau Public (Hosted by Tableau Public),"Learn how to use Tableau to dive deeper into your data and ask powerful questions. We’ll be starting with a “messy” dataset and learn how to explore trends that would normally be difficult to see without further analysis and calculations.

To achieve this, we’ll be using:

•Data Clean-up

•Calculated Fields

•Table Calculations

•Basic Statistics – regression, histogram, box and whisker plots

Some experience with Tableau Public is recommended. Taking one of the earlier Tableau sessions should suffice.Laptops will be provided.  This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available.

This class is full.  There may be a few seats available on-site. If you are interested, please arrive a few minutes before the class begins and the instructors will let you know how many seats may be available.",Tara Walker,M101
2015-03-05,4:30 p.m. - 5:30 p.m.,Hands-on,Stats: Logistic regression,"Linear regression helps you find relationships between two or more variables, but when an outcome has only two possibilities, you need a different tool. That, my friends, is where logistic regression comes in.

This session will be most useful if: You took 'Stats: An introduction', or are comfortable with summary statistics and SPSS. Familiarity with spreadsheets and database managers is recommended.",David Donald,M103
2015-03-05,4:30 p.m. - 5:30 p.m.,Hands-on,"Building better maps with Leaflet, Mapbox and Javascript","Bored with Fusion Tables, Google maps, and other plug and play map engines? Step up your mapping game with Mapbox/Leaflet and JavaScript. In this session, we'll walk you through the Mapbox JavaScript API from start to finish – beginning with some simple data and ending with a completely customized, responsive, interactive map. We'll also discuss best practices and go over the docs so you'll be ready to dive in and keep building great maps when you leave.

This session will be most useful if: You are comfortable in HTML and CSS and have a basic understanding of JavaScript",Ashlyn Still,M07
2015-03-05,4:30 p.m. - 5:30 p.m.,Panel,Tell me a story I won't forget,"*Moderated by Maggie Mulvihill, Boston University

You've finished the data analysis and collected the facts, but how will you weave them into a story that sticks with people long after it's read, viewed or heard? A group of veteran journalists will share proven methods for making that happen. We'll discuss combining data with narrative, the best processes for projects and storytelling tips to make sure your investigation sticks with your audience.","Ellen Gabler, T. Christian Miller, Maggie Mulvihill, Alan Judd",International 2-3
2015-03-05,4:30 p.m. - 5:30 p.m.,Panel,"Broadcast: Viz, quick hits and the data you need","*Moderated by Matt Goldberg, KNBC-Los Angeles

This session will take a closer look at three areas that can improve your data-driven broadcast reporting and set you apart from the pack:

•Visualizing the data story - Analyzing data is one thing, but how does that translate to TV? How can you make spreadsheet analysis sexy? Learn techniques for visualizing your data investigations to draw viewers and enhance your story.

•Data journalism to feed the beast - Some ideas for when you need a day of air story. What datasets are available for quick-turn investigations?

•The data you need now - What should you have on hand to help you investigate and enhance your investigations? Which searchable databases should you be familiar with to help you beat the competition on deadline?","Jamie Grey, Andy Pierrotti, Tisha Thompson, Matt Goldberg",International 8-9
